timestamp,tweet_text,username,all_hashtags,followers_count,PS,FG
21/11/2019 14:29," Shout out to Gary with .@lyft in Silicon Valley for being like the most prepared, polite, and service oriented #rideshare driver ever. Comfy, clean, chargers, drinks, candy, loaded my walker, helped with my seat belt, even had a ""going to the doctor playlist""! @AskLyft #lyft https://t.co/40eQBSi8Kt'", MissDefiance',"['rideshare', 'lyft']",3904,,
21/11/2019 14:18, ATTN: Uber / Lyft Drivers make extra money doing this   See More: https://t.co/FATlq4fN9q   #AdvertiseForFree #Attn #Uber #Lyft #Drivers #Make #Extra #Money', qwikad',"['AdvertiseForFree', 'Attn', 'Uber', 'Lyft', 'Drivers', 'Make', 'Extra', 'Money']",93127,,
21/11/2019 14:18," 6:18:15-\xf0\x9f\x93\xa3 Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft https://t.co/pgDJLMrjux'", ClassifiedsCal',['Lyft'],356,,
21/11/2019 14:10, #AthensGa and #WatkinsvilleGa are looking SO beautiful this morning. Loving all of the fall colors on the trees. Need a #Lyft ? #LyftDriverExtraordinaire https://t.co/N7PKo4tEI9', SamRivera_Lyft',"['AthensGa', 'WatkinsvilleGa', 'Lyft', 'LyftDriverExtraordinaire']",2,,
21/11/2019 13:53," Announcing City Works DC Advisory Council, Seeking Grant Applications https://t.co/j6LNgim2cm #Lyft #ridesharing #free'", LyftFans',"['Lyft', 'ridesharing', 'free']",478,,
21/11/2019 13:47," Its impossible to win human nature... \xe2\x80\x9cIf people are likelier to drink a lot, but less likely to drive drunk, it is hard to say what the overall public-health impact of ride-hailing firms has been.\xe2\x80\x9d - @TheEconomist #uber #lyft #DrinkingMoreOrDrivingDrunk'", alexsnurnikov',"['uber', 'lyft', 'DrinkingMoreOrDrivingDrunk']",785,,
21/11/2019 13:47, Coming to a major city near you!  . . #uber #lyft #viberide #atl atlanta #miami #ftlauderdale https://t.co/YCUJoAmGrx', TravelWithKeO',"['uber', 'lyft', 'viberide', 'atl', 'miami', 'ftlauderdale']",3443,,
21/11/2019 13:46, There should be an option in Uber and Lyft to select a vehicle that doesn\xe2\x80\x99t have 17 little tree air fresheners hanging from the mirror.  #Uber #Lyft', AndyDelaup',"['Uber', 'Lyft']",246,,
21/11/2019 13:40, If you want to take a #FREE ride or food with #Uber \xf0\x9f\x9a\x98 or #Lyft\xf0\x9f\x8e\x88  I HAVE #PROMO #CODES FOR YOU  #UberEATS\xf0\x9f\x8d\xbd: EATS-MIGUELT10  LYFT\xf0\x9f\x8e\x88: MIGUELT', DealsHeaven4u',"['FREE', 'Uber', 'Lyft', 'PROMO', 'CODES', 'UberEATS']",1071,,
21/11/2019 13:17, My #lyft #promo code if you want to join and try it out https://t.co/1bU5P5tmFl', prpuppet',"['lyft', 'promo']",115,,
